2025-09-13 16:32:47.813 | INFO     | __main__:__init__:27 - ForagerStrategy (V5.0) 已初始化。
2025-09-13 16:32:47.814 | INFO     | __main__:fetch_news_from_feed:53 - 正在從網路抓取: https://rss.nytimes.com/services/xml/rss/nyt/World.xml
2025-09-13 16:32:47.815 | INFO     | __main__:fetch_news_from_feed:53 - 正在從網路抓取: http://feeds.bbci.co.uk/news/world/rss.xml
2025-09-13 16:32:47.816 | INFO     | __main__:fetch_news_from_feed:53 - 正在從網路抓取: https://feeds.reuters.com/Reuters/worldNews
2025-09-13 16:32:47.849 | ERROR    | __main__:fetch_news_from_feed:76 - 來源 https://feeds.reuters.com/Reuters/worldNews 抓取失敗: HTTPSConnectionPool(host='feeds.reuters.com', port=443): Max retries exceeded with url: /Reuters/worldNews (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x000002646F41AA80>: Failed to resolve 'feeds.reuters.com' ([Errno 11001] getaddrinfo failed)"))
2025-09-13 16:32:49.925 | ERROR    | __main__:fetch_news_from_feed:76 - 來源 https://rss.nytimes.com/services/xml/rss/nyt/World.xml 抓取失敗: 403 Client Error: Forbidden for url: https://www.nytimes.com/2025/09/13/world/middleeast/gaza-city-fleeing.html
2025-09-13 16:53:48.071 | INFO     | __main__:__init__:31 - ForagerStrategy (V6.0) 已初始化。
2025-09-13 16:53:48.071 | INFO     | __main__:fetch_news_from_feed:59 - 正在抓取 (嘗試 1/3): https://rss.nytimes.com/services/xml/rss/nyt/World.xml
2025-09-13 16:53:48.073 | INFO     | __main__:fetch_news_from_feed:56 - 從快取命中: http://feeds.bbci.co.uk/news/world/rss.xml
2025-09-13 16:53:48.073 | INFO     | __main__:fetch_news_from_feed:59 - 正在抓取 (嘗試 1/3): https://feeds.reuters.com/Reuters/worldNews
2025-09-13 16:53:48.096 | WARNING  | __main__:fetch_news_from_feed:83 - 來源 https://feeds.reuters.com/Reuters/worldNews 抓取失敗 (嘗試 1): HTTPSConnectionPool(host='feeds.reuters.com', port=443): Max retries exceeded with url: /Reuters/worldNews (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x00000250ECDE7D10>: Failed to resolve 'feeds.reuters.com' ([Errno 11001] getaddrinfo failed)"))
2025-09-13 16:53:48.930 | WARNING  | __main__:fetch_news_from_feed:83 - 來源 https://rss.nytimes.com/services/xml/rss/nyt/World.xml 抓取失敗 (嘗試 1): 403 Client Error: Forbidden for url: https://www.nytimes.com/2025/09/13/world/middleeast/gaza-city-fleeing.html
2025-09-13 16:53:50.087 | INFO     | __main__:fetch_news_from_feed:59 - 正在抓取 (嘗試 2/3): https://feeds.reuters.com/Reuters/worldNews
2025-09-13 16:53:50.088 | WARNING  | __main__:fetch_news_from_feed:83 - 來源 https://feeds.reuters.com/Reuters/worldNews 抓取失敗 (嘗試 2): HTTPSConnectionPool(host='feeds.reuters.com', port=443): Max retries exceeded with url: /Reuters/worldNews (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x00000250ECFE65D0>: Failed to resolve 'feeds.reuters.com' ([Errno 11001] getaddrinfo failed)"))
2025-09-13 16:53:50.933 | INFO     | __main__:fetch_news_from_feed:59 - 正在抓取 (嘗試 2/3): https://rss.nytimes.com/services/xml/rss/nyt/World.xml
2025-09-13 16:53:51.773 | WARNING  | __main__:fetch_news_from_feed:83 - 來源 https://rss.nytimes.com/services/xml/rss/nyt/World.xml 抓取失敗 (嘗試 2): 403 Client Error: Forbidden for url: https://www.nytimes.com/2025/09/13/world/middleeast/gaza-city-fleeing.html
2025-09-13 16:53:52.087 | INFO     | __main__:fetch_news_from_feed:59 - 正在抓取 (嘗試 3/3): https://feeds.reuters.com/Reuters/worldNews
2025-09-13 16:53:52.088 | WARNING  | __main__:fetch_news_from_feed:83 - 來源 https://feeds.reuters.com/Reuters/worldNews 抓取失敗 (嘗試 3): HTTPSConnectionPool(host='feeds.reuters.com', port=443): Max retries exceeded with url: /Reuters/worldNews (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x00000250ECE36C60>: Failed to resolve 'feeds.reuters.com' ([Errno 11001] getaddrinfo failed)"))
2025-09-13 16:53:52.088 | ERROR    | __main__:fetch_news_from_feed:87 - 來源 https://feeds.reuters.com/Reuters/worldNews 連續3次抓取失敗。
2025-09-13 16:53:53.775 | INFO     | __main__:fetch_news_from_feed:59 - 正在抓取 (嘗試 3/3): https://rss.nytimes.com/services/xml/rss/nyt/World.xml
2025-09-13 16:53:54.488 | WARNING  | __main__:fetch_news_from_feed:83 - 來源 https://rss.nytimes.com/services/xml/rss/nyt/World.xml 抓取失敗 (嘗試 3): 403 Client Error: Forbidden for url: https://www.nytimes.com/2025/09/13/world/middleeast/gaza-city-fleeing.html
2025-09-13 16:53:54.488 | ERROR    | __main__:fetch_news_from_feed:87 - 來源 https://rss.nytimes.com/services/xml/rss/nyt/World.xml 連續3次抓取失敗。
2025-09-13 18:03:03.917 | INFO     | __main__:__init__:31 - ForagerStrategy (V7.0) 已初始化。
2025-09-13 18:03:03.918 | INFO     | __main__:fetch_news_from_feed:70 - 正在使用 Requests 抓取 (嘗試 1/2): https://nvidianews.nvidia.com/news/nvidia-blackwell-architecture-comes-to-geforce-now
2025-09-13 18:03:03.919 | INFO     | __main__:fetch_news_from_feed:70 - 正在使用 Requests 抓取 (嘗試 1/2): https://www.nvidia.com/en-us/data-center/technologies/blackwell-architecture/
2025-09-13 18:03:03.919 | INFO     | __main__:fetch_news_from_feed:70 - 正在使用 Requests 抓取 (嘗試 1/2): https://developer.nvidia.com/blog/nvidia-blackwell-ultra-sets-new-inference-records-in-mlperf-debut/
2025-09-13 18:03:04.396 | WARNING  | __main__:fetch_news_from_feed:105 - 來源 https://www.nvidia.com/en-us/data-center/technologies/blackwell-architecture/ 抓取失敗 (嘗試 1): not well-formed (invalid token): line 8, column 67
2025-09-13 18:03:04.604 | WARNING  | __main__:fetch_news_from_feed:105 - 來源 https://nvidianews.nvidia.com/news/nvidia-blackwell-architecture-comes-to-geforce-now 抓取失敗 (嘗試 1): syntax error: line 4, column 0
2025-09-13 18:03:04.704 | WARNING  | __main__:fetch_news_from_feed:105 - 來源 https://developer.nvidia.com/blog/nvidia-blackwell-ultra-sets-new-inference-records-in-mlperf-debut/ 抓取失敗 (嘗試 1): syntax error: line 1, column 0
2025-09-13 18:03:06.407 | INFO     | __main__:fetch_news_from_feed:70 - 正在使用 Requests 抓取 (嘗試 2/2): https://www.nvidia.com/en-us/data-center/technologies/blackwell-architecture/
